31922,31901,31949,15,1,0,792,751,1,0,0,0,0,0,2,2,
31927,31892,31923,15,2,0,476,1030,1,0,0,1,0,0,1,0,
31915,31905,31892,16,0,15,324,1106,2,3,0,0,0,0,0,1,
31917,31883,31930,13,0,24,270,1126,3,2,0,0,0,0,0,1,
31915,31857,31927,12,0,34,230,1080,2,2,2,0,0,3,2,2,
31903,31872,31923,16,1,24,229,1070,2,0,0,0,1,2,0,2,
31905,31883,31890,12,1,19,222,1058,2,0,0,1,0,0,0,0,
31904,31884,31932,15,0,34,229,1052,1,0,0,0,0,0,0,2,
31881,31861,31904,15,0,31,226,1066,0,1,0,1,0,1,2,0,
31915,31842,31906,13,2,34,227,1068,0,2,0,0,2,2,0,2,
32036,31857,31872,14,2,28,218,1074,2,0,0,1,0,2,2,0,
31841,31836,31881,15,0,28,214,1057,0,0,0,0,2,0,0,0,
31842,31745,31863,12,4,28,217,1052,1,0,0,1,0,0,0,2,
31874,31828,31909,15,0,28,213,1052,0,0,2,0,2,0,3,0,
31864,31858,31876,12,0,22,221,1074,2,0,1,0,0,0,0,1,
31879,31836,31885,15,0,22,217,1073,2,0,2,2,1,2,0,0,
31858,31821,31835,12,0,18,210,1065,2,0,0,0,1,2,1,0,
31869,31834,31854,12,2,36,213,1065,2,0,0,0,1,2,1,0,
31842,31853,31853,15,1,26,218,1076,2,1,0,0,1,1,0,2,
31841,31833,31888,16,0,39,212,1054,2,1,0,1,0,2,0,1,
31841,31828,31825,17,2,39,225,1062,1,2,0,3,1,1,3,1,
31868,31814,32056,16,1,28,226,1062,4,1,1,0,0,1,3,1,
31895,31844,31802,15,1,23,218,1081,0,2,0,2,0,0,2,0,
31863,31829,31870,12,2,28,211,1069,1,0,2,1,2,0,0,0,
31887,31844,31865,12,0,23,202,1070,2,3,0,0,1,2,0,3,
31898,31818,31720,15,0,32,212,1065,1,0,1,0,0,1,0,1,
31858,31888,31901,16,2,43,222,1058,1,1,0,2,0,0,1,2,
31857,31871,31863,15,2,28,230,1067,0,0,0,1,2,0,1,1,
31868,31836,31943,14,0,23,222,1078,1,1,0,0,0,0,0,1,
31866,31856,31905,12,0,25,217,1082,0,0,0,0,2,0,0,1,
31864,31828,31878,15,1,28,215,1086,2,1,0,0,0,0,0,1,
31858,31867,31915,16,1,20,201,1074,2,0,0,0,1,2,0,2,
31906,31901,31900,15,2,28,193,1054,2,0,2,0,1,2,2,0,
31942,31885,31882,16,0,39,209,1057,2,0,2,0,1,0,1,1,
31904,31895,31939,15,2,50,217,1059,1,0,2,0,1,1,0,1,
31896,31951,31946,12,2,35,239,1074,1,2,0,0,2,2,0,2,
31951,31922,32149,15,1,20,217,1068,2,2,0,2,1,2,0,1,
32041,31905,31950,15,2,28,225,1073,2,0,1,2,2,1,1,0,
31919,31939,31973,14,2,29,222,1074,2,2,0,1,2,0,0,2,
31939,31906,31982,16,0,33,212,1074,0,3,0,1,1,0,1,1,
31987,31932,32011,16,0,28,214,1066,2,1,0,2,1,2,0,2,
31962,31948,31976,15,1,36,218,1076,1,0,0,2,0,0,2,2,
31926,32003,31989,15,0,33,221,1076,1,2,1,0,0,0,1,2,
31963,31906,31972,16,2,24,213,1075,2,1,0,0,0,3,0,0,
31971,31922,31955,14,1,24,214,1065,0,1,0,1,0,1,1,2,
31954,31965,31975,16,0,32,218,1058,0,1,0,0,0,1,0,0,
31959,31935,31984,15,1,23,214,1088,2,1,2,2,0,2,2,0,
32003,31936,31825,16,0,43,224,1102,2,0,1,2,0,0,1,0,
31955,31946,31980,12,1,34,222,1102,1,0,1,0,0,0,0,3,
31971,31970,31971,14,1,36,218,1086,4,0,0,0,0,2,0,0,
31981,31927,31947,12,2,35,225,1094,2,2,1,0,0,3,0,2,
31993,31939,31983,15,0,28,215,1091,1,2,1,0,2,1,1,0,
31962,31965,31994,15,2,28,217,1064,0,1,1,1,0,0,0,0,
31975,31940,32005,15,0,39,221,1060,2,0,0,0,1,0,1,1,
31987,31949,31949,12,2,34,218,1069,3,2,2,2,2,1,1,0,
31978,31951,32003,14,1,34,222,1060,0,3,0,1,0,0,2,2,
31949,31957,31986,15,1,29,218,1070,0,1,0,0,0,1,1,1,
31813,31938,32003,12,0,21,218,1056,2,1,0,2,0,2,0,1,
31994,31988,31955,15,1,24,216,1058,2,0,0,0,1,2,2,1,
31971,32092,31958,12,0,38,206,1052,0,1,1,1,0,1,2,2,
31954,31931,32011,15,1,40,204,1059,0,0,0,0,0,0,1,0,
31927,32012,31947,13,1,35,209,1045,3,0,0,0,0,0,1,2,
31954,31721,31965,12,1,32,221,1084,1,2,0,0,2,1,1,3,
31963,31917,31930,17,0,35,222,1078,2,1,0,1,0,1,2,0,
31923,31944,31982,16,0,34,217,1074,2,0,3,1,0,4,0,0,
31983,31899,32046,15,2,33,206,1053,2,0,2,2,0,1,0,0,
31836,31905,31913,12,0,36,214,1062,3,0,0,1,0,0,0,2,
31903,31863,31960,15,0,40,222,1057,2,0,2,0,0,1,2,2,
